Item# (SKU),Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Imprint Method 1,Imprint Method 2,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),Packaging,Additional Info,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5,Available Colors,Product Categories,Related Products,Search Keywords
STDCUP20,20oz. Stadium Cups,25,"2-7/8""h x 3-1/4""w each side or 2-7/8""h x 7-1/2""w",BPA Free!    Durable plastic.,One color imprint.,Silkscreen,,36,500,19L x 15W x 19H,,,500,1000,2000,3500,5000,0.99,0.94,0.89,0.83,0.79,C,C,C,C,C,"BLUE, RED, YELLOW, NEON PINK, WHITE, NEON GREEN, NEON ORANGE",Drinkware,"MAGNAJMB, CLIPRND, ESQPEN, COVCLBD, MAGNACLP, SNGLSCPM, CLPSAFLS, PENCIL, GLOBE, RIBBON, STRSBL, STAR, FOOTBL3, CAMOKLR, SLICKCLR, TETHGEL, RUBMSPD, BUBKEG, 16SATMUG, 18FLPFRE, 16CORMUG, JAVAMUG, BABBUBKG, SHOEKT, SILBRACS, MTYBRITE, MINISTKY, MINIATH, MI","sided, durable, tangerinetango, mardigras"
STELNBK,Stella Sticky Notebook,160,"1""h x 1-3/4""w","Leather-like notebook with snap closure.    Includes pen, 5 colored sticky flags and 2 sizes of sticky note pads.    Actual size is 4-1/2""h x 3""w.",One color imprint.,Silkscreen,,31,120,13L x 16W x 11H,,1. Imprint location  1 is standard.  2. We suggest using a 12pt or larger size block font to ensure the best quality imprint.  3. Pen imprint not available.,150,250,500,1000,2500,3.89,3.69,3.39,3.09,2.89,C,C,C,C,C,"GREEN, BLUE, RED",Workplace,"PNPDSGNB, BANDITBK, BERMDAEX, CINBKPN, IRWINEXE, SPSTKPD, SUMMCMBO, ALCHCMBO, COVCLBD, K2USBFAN, SAWYRSLV, PNPALNBK, TERRNBK, PNPXLNB, MINIDESK, SLIDMAG, EXECFLG, PIGLETBK, TRADEBDG, LCLRJR, MEETFOLO, ELLSWORT, CATLINEX, SAVYHND, MANSALON, HLTHHND, SPECSB",
STKPONKT,Stake Your Spot Kit,217,"2""h x 4""w","Ponza Mini Bag with 4 stake clips to hold your  towel or blanket in place at the beach or picnic.    Bag size is 8""h x 6""w, stake size is 6""h x 3""w.",One color imprint on bag only.,Silkscreen,,,,,,1. Please note on PO the stake color and bag color.  2. Clips are polybagged and placed in the Ponza Mini Bag.,100,250,500,1000,2500,3.99,3.85,3.79,3.59,3.39,C,C,C,C,C,"WHITE, BLUE, GREEN",Lifestyles,"PARAPN, CRVGRPBL, WIDEMES, GAMEBLKT, ELLSWORT, SHARKMCL, RTRMDLNG, ITABSLV, KICKSTND, HATTRKBO, WRIONCLP_CL, TRVLBLKT, FLDGOBG_CL, RLCPCLKT, MGNTCLDP, SNGLSCPM, CLPSAFLS, QUADCLPN_CL, SUPCHP, RTBADG, CLPSFSTB_CL, SHKCLRKT, CTYCLRKT, USBMTLKR, CARAKEY6_CL,","springbreak14, summer2014"
STPLRMV,Staple Remover,164,"5/16""h x 2""w","Translucent or solid color available.    Actual size is 1/2""h x 5-1/2""w.    Individually polybagged.",One color imprint.,Silkscreen,,13,250,12L x 13W x 7H,Individually polybagged.,,250,500,500,1000,2500,1.17,1.06,1.11,1.06,0.98,C,C,C,C,C,"WHITE, TRANS BLUE",Workplace,"JAVAMUG_CL, TRINJR_CL, TRINEXC_CL, NVLATBJR, NVLATBCS, CANUSAVE, CRKSTBK, PIGGYBNK_CL, SAVVYPN, STCROPNW, SILVHIGH, YORKPEN, STCROPNM, SOLARPN, YORKPNM, FESTVLPN, ESQPEN, PARSNYPN, GOLFBALL_CL, DIVOTFXR, FORCSTUM, CARLEYCL, CTYSLKNB, CRKNTBK, TIRGEKYC, TR",
STRAWCQ_CL,Curly Q Straw - Closeout,,,Add to any Freedom or Revolution Tumbler.,,,,,,,,Tumblers sold separately.,100,,,,,0.37,,,,,C,,,,,"PURPLE, RED, ORANGE, ROYAL, GRASS",Drinkware,"RIVET, MAGNIKL_CL, WHISTLE_CL, QUADCANV, COL3PKATH, COLKEVPK, JETBKSK, RIVALBKS, REEFBKSK, SPIRTBKS_CL, METROBK, WILDBKSK, NTROBKSK, ZGZGBKSK, METROBK_CL, TRVBKPK, SHKSDST, UNIUSB, SHOWTOTE, SUNSHDSQ, YOGAMAT, CAPBTLOP, ENDUTRIT, VWINOPN, LETHSTPK_CL, FLO","bpa free, plastic"
STRAWGLT,Glitter Straws,20,,"10-1/2"" straw with glitter. Add to any Slender Sip Tumbler.",,,,,,,,Tumblers sold separately.,1,,,,,0.4,,,,,G,,,,,"RED, GREEN",Drinkware,"34BUBTVL, BUBKEG, CHIAMNTY_CL, TRICRKSW_CL, SLMPKTL_CL, TWICEBTL, SODATRIT, RENPENC, 22FREDOM_CL, TRVSETBG_CL, CRWNGRPT_CL, RBSUNGLS, VELOSTPN, MULTTASK, NEOCLTWO, K2USBFAN, HATTRIKKT, STKPONKT, PIVTLKR_CL, PLYCLATH, NEOCLONE, MINIATH, MINMESH_CL, 24AERIA",straw
STRAWSTP,Candy Stripe Straw,25,,,,,,20,2500,16L x 18W x 16H,,Tumblers sold separately.,1,,,,,0.4,,,,,G,,,,,"Red, Purple, Orange, Lime, Royal, Pink",Drinkware,"30POLYCL, STDCUP20, DBLVISN, MICRPHKY, HABTSHP, METROBK, DBLTKDS, REEFBKSK, JETBKSK, CAMOKONE, COLKONE, COLKEVPK, ZIPCOOL, NEONBB, EXMANPNC, SLKMPNCL, SUNSPYLB, PAPRPENC, GSSLEEK, OVLTROPN, LED17FLH, BUSCLGTG, OXFRDJOT, UNOLED, NOVLEDFL, HANDPACK, SHOEBAG","tangerinetango, straw, tumblerstraw"
STREABTL,Stream Water Bottle,33,"2-1/2""h x 2-1/2""w each side or 2-1/2""h x 8-1/4""w wrap",BPA Free!     24oz. solid color PET water bottle with push/pull lid.,One color imprint.,Silkscreen,,21,12,13L x 22W x 31H,,,150,300,450,600,750,3.79,3.63,3.45,3.29,2.99,C,C,C,C,C,"Blue, Red, White, Silver, Yellow, Orange, Green, Black",Drinkware,"24AERIAL, 28TALNCL, 30POLYCL, BTLCAD, CRVGRPBL, LAZERBTL, PERFRBTL, SPECSBTL, 11CAFEMG, 11CAFECR, 16JAMOCA, UNOMUG, OASISBTL, 20TINTBB, EXECBAND, MANSALON, TEMPRPCK, VIBRNTLP, YOGABLK, 28BLEBTL, SHAKITUP, DRAWBKSK, HOWDYTZR, GLOBE, FRQNTLGT, KPCLTWL, RBSU",new2drink
STRSBL,Stressballs,269,"1-1/4""h x 1-1/4""w","Actual size is 3"" diameter.",One color imprint in one location.,Silkscreen,,17,250,27L x 15W x 13H,Bulk. Shipped in oversized boxes at 30 pounds.,"1. Due to customs regulations, the country of origin will show on each stress reliever.  2. No two stress relievers are the same because they are made by hand. The color and density of the polyurethane varies. Therefore, it is impossible to guarantee a co",250,500,1000,1500,2500,1.25,1.15,1.05,0.95,0.85,C,C,C,C,C,"BLUE, GREEN, RED, WHITE, YELLOW",Personal Care,"TRVBKPK, VALETKR, THMGOB25, THMGOBTL, MESURCUP, SUMMCMBO, SLIDACLP, SILIPINT, VIVIDPN, SPECTRA, MANSALON, SHKCLRKT, RLCPCLKT, STRAWGLT, SUNSPYLB, 20FLATFL, SOLSTPN, YORKPEN, YORKPNM, SIBLEYHI, SUMITPEN, HABTSHP, BLAKEHI, STCROPNW, STCROPNF, MARCOPN, SLIDM","squeeze, colors, stress"
STYLITE,Stylite Stylus Highlighter,83,"3/4""h x 1-1/2""w","Solid barrel stylus with highlighter.    Lanyard has breakaway cord and matches highlighter color.    Actual size of highlighter is 4-1/4""l.    Actual size of lanyard is 15-3/4"".    Individually polybagged.",One color imprint.,Silkscreen,,13,500,9L x 15W x 12H,Individually polybagged.,1. White imprint not available.  2. Lanyard will ship detached from highlighter.  3. Some assembly required.  4. 2 day production from time of art approval.  There is no set up charge on exact re-orders for writing instruments.,250,500,1000,2500,5000,1.29,1.25,1.19,1.15,1.09,C,C,C,C,C,"YELLOW, PINK, BLUE, ORANGE","Writing Instruments, Techno Trends","12ORBTMB, 16FREDOM, 16FREONE, 17OUTBK, 20TINTBB, 30POLYCL, LNZSTPN, SOLARPN, BARTPEN, MEDIASTA, 20STD2GO, STCHSWKT, LENSCLN, PENCIL, RETRVKL, RETRAKYR, LEDLTBOK, SLIDMAG, RULRCLSI, LGTNLOOK, KLPNOTES, RTRMDLNG, TCHKYCN, SUNSHDE, WVEBKPK, USBFOLD, WEBTOTE,",newsapril
STYLPEN,Stylus Pen,82,"3/4""h x 1-1/2""w","Medium point black ink pen with stylus tip for use on touch media devices.    Plastic barrel, metal clip and matte metallic finish.    Individually polybagged.",One color imprint.,Silkscreen,,12,500,7L x 12W x 13H,Individually polybagged.,1. Silver imprint recommended on colored barrels.  Black imprint recommended on silver.  2. 2 day production from time of art approval.  There is no set up charge on exact re-orders for writing instruments.,150,250,500,1000,2500,1.99,1.85,1.75,1.59,1.49,C,C,C,C,C,"Black, Blue, Red, Silver, Green","Writing Instruments, Techno Trends","COVCLBD, TRIPNHI_CL, GSRVTQSR, CRKNTBK, TRICRKSW_CL, GELEHIGH, REWNDHL, COZYCASE_CL, FRQNTLGT, GESSENBG, GTEES_CL, SUNSCRGK, MULMDATH, NITROGK, RETAPE, GSHOPKATH, BIKEBTLC_CL, GAMESEAT_CL, TTLVLCTY, FOOTLONG_CL, COLDUF_CL, MULMDKPR, VANTMIR_CL, IDENTAG, T",
SUMITPEN,Summit Pen,89,"5/8""h x 1-3/4""w","Plastic white barrel with metallic colored clip, tip and plunger.    Retractable mechanism.    Medium point black refill.",One color imprint.,Silkscreen,,,,,,We strongly suggest requesting a sample of this pen prior to placing PO to check colors.  There is no set up charge on exact re-orders for writing instruments.,500,750,1000,2500,5000,0.69,0.66,0.6,0.53,0.49,C,C,C,C,C,"RED, GREEN, BLUE, BLACK",Writing Instruments,"SAXONPN, SPECSBTL, ONGOSANT, LONGTEES, TEMPOPN, VP, DENALIPN, STRAWGLT, STANRMVR, TETHGEL, HOWDYTZR, TAGGEL, MESURSPN, STCHSWKT, TTLPROV1, TTLVLCTY, SVNUNOCP, SSLENDSP, CATLINEX, CINBKPN, SIBLEYHI, GLFPKATH, NORDGRIP, SAVYHND, TRA9LED, CALIOPN, KLCSTK, DR",
SUMMCMBO,Summit Notebook Combo,155,"Notebook: 5""h x 3""w   Summit Pen  Optional : 5/8""h x 1-3/4""w","Notebook with matching pen.    Elastic pen loop.    80 sheets of lined note paper.    Actual size is 8-1/2""h x 6-1/4""w.    Individually polybagged.",One color imprint on notebook.,Silkscreen,,,,,Individually polybagged.,1. We strongly suggest you request a sample of the maroon color prior to placing PO.  2. Optional pen imprint requires one additional day production time.  3. Pen barrel color will coordinate with notebook color as photographed. They are not an exact matc,150,250,500,1000,2500,3.99,3.79,3.59,3.35,3.09,C,C,C,C,C,"BLUE, BLACK, RED",Workplace,"16GRPNGO, 24ORBTMB, LNCHBDY, CLRTOTBG, MESURCUP, SSLENDSP, LEDLTBOK, TREKRTUM, SLIDMAG, SLIDACLP, ORBTRNL, KLCSTK, CSTCKS, 22FREDOM, NORDGRIP, GLFPKATH, SLKPEN, GRPGRAN, FLOATER, WRPITUP, ITABSLV, KICKSTND, GSDAYTRP, STRAWGLT, STRAWSTP, CARLEYCL, CARLEYPN",
SUNLOTON,1oz. SPF 30 Sunscreen Lotion,260,"1""h x 2""w","Aloe based, moisturizing, vitamin A & E.    Paba and oil free, UVA and UVB protection.    Water and sweat resistant.    Made in USA.",4 color process digital label.,Four Color Process,,31,333,12L x 12W x 12H,,1. This item requires 3 day additional production time.  2. Ships FOB Florida.,250,500,1000,1500,2500,1.85,1.77,1.63,1.51,1.45,C,C,C,C,C,WHITE,Personal Care,"TREMEBRT_CL, GEMHIPNS_CL, CLAYPN_CL, PANAPN_CL, MARKITUP_CL, MARCOPN_CL, SILNTHI_CL, SKEPNHI_CL, EXECNTFL_CL, ECOCLK_CL, GEMHIPEN_CL, JUMBOHI_CL, USBLINXS_CL, TEMPRPCK, TECCHGST, MYSTLPN, SPSTKPD, EXECFLG, 16FRE2GO, 16JYMUG, 20FRSTBB, 20TINTBB, 28TALNCL, ",
SUNSCRGK,Sunscreen Golf Kit,233,"Mini Mesh Bag 2-1/2""h x 4""w   Golf Balls: 7/8"" diameter   Lip Balm  labeled : 1-1/8""h x 1-3/4""w   Sunscreen Spray Pump  labeled : 1-1/2""h x 3""w","Kit includes two Authoritee  golf balls, Lip Balm, Sunscreen Spray Pump and Mini Mesh Bag.","One color imprint on Mini Mesh Bag and multi color label on Lip Balm and Sunscreen, 1-4 color imprint on one pole of the golf balls.",Silkscreen,,,,,,1. This item requires an additional 2 day production time.  2. PMS color match not available.  3. Less than 1st column quantity not available.  4. Golf ball imprint will not be at exact polar opposite sides.  5. Free spec sample product exceptions include,72,144,288,576,1008,9.99,9.59,8.99,8.49,7.99,C,C,C,C,C,,Lifestyles,"LONGTEES, NITROGK, MULMDATH, 6PKTPATH, COL3PKATH, DRSPTGL, GSHOPKATH, DIVOTFXR, GESSENBG, GLFPKATH, MINIATH, SHOEBAG, DIVAPN, HLTHHND, CATLINEX, CARLEYCL, HANSPRAY, DBLVISN, CRESTJR, GSRVTQSR, CALKTC, MINWNDFL, CLPCPHAN, CLENFTBT, CERENJR, TOGOTMB, CLPSAF",golfkit14
SUNSHDE,Sun Shade,295,"12""h x 17""w","Light, reflective material to help keep automobile cool.    Easy to open and install.    Held in place with automobile sun visor.    Actual size is 28""h x 60""w.    Pops open and folds easily into carry pouch that measures 9-1/2""h x 10""w.",Two identical one color imprints on one  side of the driver s side and passenger s side panels.,Silkscreen,,32,100,31L x 31W x 6H,,"1. Will ship from flat, not inside carry pouch.  2. This item requires a 2 day production time.",80,160,240,480,960,7.49,7.19,6.89,6.69,6.49,C,C,C,C,C,"SILVER, BLUE/SILVER",Tools,"CABANAPN_CL, MANI2GO_CL, SPHRLTOP_CL, FXHEADPH, FLOS2GO_CL, HIFIVHI_CL, TEMPOPNW_CL, CAPTVAPN_CL, TEMPOPN_CL, LAPTPSLV_CL, HEARTRE, GLOBE, STRSBL, RIBBON_CL, STAR, KLICKPN_CL, CEOPEN_CL, CUBELEDK_CL, GEMINPNS_CL, SPRTYWAV_CL, PRSBKLT_CL, LNZSTPN, HANDSAN,","round, shade, auto, car, pouch, visor, windshield"
SUNSHDSQ,Sun Shade Square,295,"12""h x 17""w","Light, reflective material to help keep automobile cool.    Easy to open and install.    Held in place with automobile sun visor.    Actual size is 27""h x 56-3/16""w.    Pops open and folds easily using elastic loop strap.",Two identical one color imprints on the drivers side and passengers side panels as shown in the pictures.,Silkscreen,,25,80,6L x 30W x 30H,,"1. Will ship from flat, not folded close with elastic loop strap.  2. Does not include bag.  3. This item requires a 2 day production time.",100,200,300,500,1000,6.95,6.85,6.7,6.5,6.19,C,C,C,C,C,"SILVER, BLUE/SILVER",Tools,"LEDTORCK, WILDBKSK, STYLITE, SLIDMAG, HANSPRAY, SILVHIGH, GOLFTEE, VWINOPN, SICWINBG, RLCPCLBG, CHRO12PK, LCURVEJR, RIVALBKS, REEFBKSK, KCMSHBK, 16JAMOCA, YOGAMAT, KLPNOTES, MULMDATH, GSHOPKATH, NITROGK, SUNSCRGK, CONCORD, RETRFLSH, PAPRPENC, 24AERIAL, CL","shade, square, auto, car, pouch, visor, windshield"
SUNSPYLB,Sunscreen Spray Pump,261,"1-1/2""h x 3""w","Sunscreen fine mist spray with 30 SPF.    Light coconut scent.    Actual size is 5-1/2""h.    Individually polybagged.",White adhesive label with optional multicolor imprint.,Silkscreen,,,,,Individually polybagged.,1. This item requires an additional 3 day production time after  art approval.  2. See our website for more label information.  3. No exact PMS color match.  4. Ships FOB Florida.,250,500,1000,1500,2500,2.29,2.22,2.17,2.09,1.99,C,C,C,C,C,"GREEN, RED, BLUE, FROST",Personal Care,"SUNSCRGK, DIVOTFXR, 5TEEPKL, CYCLONE, GOLFTEE, 9TEEPKL, 5TEDVPKL, GESSENBG, HANSPRAY, MINIWIPE, LIPBALM, HANDPACK, SUNSHDE, WVEBKPK, USBFOLD, WEBTOTE, SWAMPJUI, USBAUTO, THPKHLD, STCROPNW, TRA9LED, YOGAMAT, WIDEMES, SPECTRA, SUMMCMBO, TEKTRACK, TIRGEKYC, ","sunscreen, summer, sunblock"
SUNSTCK,Sunstick,260,"1-1/2""h x 2-1/4""w","Large SPF 30 Face UVA and UVB protection.    Non-greasy, water and sweat resistant.    Hands-free, one touch, less mess.    Made in USA.",4 color process digital label.,Four Color Process,,18,250,12L x 12W x 12H,,1. This item requires 3 day additional production time.  2. Ships FOB Florida.,250,500,1000,1500,2500,2.19,2.12,2.07,1.99,1.89,C,C,C,C,C,WHITE,Personal Care,"RULRCLSI, SUNSHDSQ, IDENTAG, RETRAKYR, TTLPROV1, GELEHIGH, GOLFTOWL, BRZYLNGR, CFLYERT, 17GEOBTL, IWEARST, PLASFAN, COMJOTPN, STPLRMV, 22FREDOM, FLEXRULE, STADBLKT, LONGTEES, MESURSPN, TREKRTUM, TRENTUM, GLIMMER, CSTCK, REWNDHL, NORDGRIP, KLCSTK, DIVAPN, ",
SUNTOT,1.5oz. SPF 30 Sunscreen Tottle with Clip,260,"1-3/4""h x 1-1/8""w","Aloe based, moisturizing, vitamin A & E.    Paba and oil free, UVA and UVB protection.    Water and sweat resistant.    Made in USA.",4 color process digital label.,Four Color Process,,31,200,12L x 12W x 12H,,1. This item requires 3 day additional production time.   2. Ships FOB Florida.,150,250,500,1000,2500,3.09,2.99,2.79,2.69,2.59,C,C,C,C,C,WHITE,Personal Care,"BEACHNIK, BIGLNGR, CYCLONE, LPMEDPCH, REEFBKSK, HOWDYTZR, ONGOSANT, TRSTRBG, GETFITDF, DSKMIR, SHAKITUP, RIVET, PNPDSGNB, RENPENC, QUASAR, KICKSTND, MEDIALNG, ECMEDLNG, HANSPRAY, ALBCOKC, BASEBL, BSKTBL, ARROW, APPLE, 16CORCLR, DENALIPN, FXHEADPH, 34BUBTV",
SUPCHP,Big Bag Clip,242,"5/8""h x 2-3/4""w either side","Spring action clip.    Actual size is 3-1/2""h x 6-1/4""w.",One color imprint on one side.,Silkscreen,,31,288,24L x 15W x 16H,,,250,500,1000,2500,5000,1.29,1.23,1.17,1.09,0.99,C,C,C,C,C,"SOLID BLUE, SOLID WHITE, SOLID RED",Lifestyles,"BBUY, MINIWIPE, INSHPTOT, SODATRIT, ENDUTRIT, RIBBON, SFTYSTRB, LED17FLH, SILBRACP, PERFRBTL, LNCHBDY, FOOTBL3, GFBXTMB, SPRINTSS, HEARTRE, STAR, PENCIL, GLOBE, SILBRACS, CAMOKLR, NEOCLONE, NEOCLTWO, CAMOKONE, 17GEOBTL, ESQPEN, COVCLBD, ZIPCOOL, SILBTLKC,",
SUPERLT_CL,Super Bright Flashlight - Closeout,,"1/2""H x 1 1/4""W","Metal finish with black wrist strap.    Ultra bright LED light.    Rubber push button on/off switch.    Batteries included.    Actual size is 1-1/4""h x 4""w.    Individually gift boxed.",One laser engraved imprint.,Laser Engraved,,,,,Bulk. individually Boxed.,Batteries not inserted.,,,,,,,,,,,,,,,,BLACK,Tools,"ELLSWORT, STDCUP20, KLCSTK, NYLFLYER, OASISBTL, ORBINF, RTRMDLNG, GAMEBLKT, ITABSLV, KICKSTND, HATTRKBO, SHARKMCL, FLDGOBG_CL, TRVLBLKT, STCROPNW, STCROPNM, CARLEYPN, CARLEYCL, CATLINEX, CERENJR, TRINEXC_CL, TRINJR_CL, YORKPEN, GSRVTQSR, SUMITPEN, FORCSTU",
SVNUNOCP,16oz. Stainless Vintage Uno Cup,,"2-1/2""h x 2-1/2""w each side or  2-1/2""h x 8-1/2""w wrap",Stainless steel outer / AS inner wall DW tumbler with slider lid.    Hot or cold drink optional.,One color imprint.,Silkscreen,,13,24,7L x 26W x 18H,,1. Non-microwavable.  2. This item requires an additional one day production time.  3. Hand wash only.,72,144,288,576,1008,7.85,7.45,6.99,6.49,5.99,C,C,C,C,C,"GOLD, RED, BLUE, SMOKE, AQUA",Drinkware,"BAYCLTOT, BIGISTPN, CAPRSTPN, METPBKSK, TOOLARND, 10CONTAP_CL, SOLARPN, 20STD2GO, 30POLYCL, 16JYMUG, 16FRE2GO, CFLYER, 16FREFAC, 20NEONSS_CL, 16SUPRDM_CL, 20DWREV_CL, 22FREDOM_CL, 16FREFAC_CL, 17OUTBK_CL, 16VOY_CL, 16FREONE_CL, 20INLET, COLKKLR, SILBRACD,",
SWAMPJUI,Swamp Juice,258,"1""h x 2""w",All natural insect repellent.    Deet free!    Repels a variety of blood feeding insects.    Made in USA.,4 color process digital label.,Four Color Process,,35,250,12L x 12W x 12H,,1. This item requires 3 day additional production time.  2. Ships FOB Florida.,150,250,500,1000,2500,2.89,2.79,2.59,2.49,2.39,C,C,C,C,C,WHITE,Personal Care,"12GRPNGO, BNDYBRT, AUDIOEB, CRSCALJR, RETROHS, EXECBAND, CARYTMB, K2USBFAN, MEDILNGS, MICROSTD, MEDIALNG, SHOTABST, WRPITUP, PROPITUP, EARMEDIA, ECMEDLNG, MP3MINI, KICKSTND, MEDLNUSB, SPRACLMC, SHARKMCL, SOUNDEAR, SAWYRSLV, RTRMDLNG, HNDWARM, GSSLEEK, NEO",
SWNKYTMB,20oz. Swanky Sip Tumbler,15,"2-1/2""h x 2-1/4""w one side only",BPA Free!    Tritan  tumbler with a comfortable feel to use and reuse.    Slider top closure.,One color imprint.,Silkscreen,,8,24,10L x 13W x 22H,,Non-microwavable.,72,144,288,576,1008,6.85,6.59,6.29,5.99,5.69,C,C,C,C,C,"CLEAR, BLUE, RED, SMOKE, AQUA",Drinkware,"TRVLBLKT, MINIDESK, TIREGE, TCHKYCN, LGTUPLYD, 16KARTMB, SUNSHDSQ, TTLVLCTY, RETRVKL, CALLCASH, TTLPROV1, CARNVPN, BEACHNIK, CLASSTRAV, CRDLSO, ELLSWORT, GRPBOLD, HATTRIKKT, HATTRKBO, MEDIASTA, PEAKBKSK, RTRMDLNG, SIPNSTYL, UNOCCLR, ZGZGBKSK, SSLENDSP, 16","summer2014, laborday, bpa free, slider top, swanky, tritan"
TAGGEL,Tag Along Gel Sanitizer,257,"1""h x 3/4""w","0.5 ounce bottle of 62% alcohol hand sanitizer  gel inside a rubber tag-a-long case.    Flip top cap.    FDA approved.    Actual size is 1-13/16""h x 1-1/16""w.    Individually polybagged.",One color imprint on white adhesive label.,Silkscreen,,17,200,9L x 15W x 12H,Individually polybagged.,,250,500,1000,1500,2500,1.59,1.51,1.37,1.25,1.19,C,C,C,C,C,"BLUE, RED, ORANGE, PURPLE, LIME, SMOKE",Personal Care,"BELLATMB, PLASFAN, BUBKEG, CHIAMNTY_CL, CONCORD, CABANAPN, TRICRKSW_CL, SLMPKTL_CL, MEDILNGS, SLKMPNCL, NEONBB, BUSCLGTG, CANOODPN, PIGGYBNK, SPRTYWAV, 22FREDOM_CL, SLIDMAG, YORKPEN, TRVSETBG_CL, SLKPEN, CRWNGRPT_CL, MULTTASK, NEOCLTWO, FORCSTUM, CLIPRND,","sanitizer, rubber clip"
TAGTOGO_CL,Tag it to Go - Closeout,,"1""h x 2-1/2""w","PVC fold through luggage tag.    Actual size is 1-1/2""h x 10""w unfolded and 1-1/2""h x 4""w when folded through.    Includes a 1""h x 4""w personalization  identification card.    Individually polybagged.",One color imprint.,Silkscreen,,,,,Individually polybagged.,,,,,,,,,,,,,,,,,"BLUE, RED, WHITE, LIME",Lifestyles,"FLDGOBG_CL, LUGSPAT_CL, TRVSETBG_CL, HSEKYHLD, SILBRACS, SILBRACP, WHSKLT, DBLWVSB, DBLSQBPK, DBLTKDS, DBLVISN, DBLSTBPK, DBLSQBPK_CL, CLASSTRAV, MEETFOLO, FENDUFL_CL, RESRTOTE_CL, BEVRCDCM, UNOCCLR, UNOLED, UNOMUG, WTRTBPCH, LPMEDPCH, WATMEDPC, DBLCLPSL,",
TAKESEAT_CL,Take A Seat - Closeout,,"6""h x 8""w","80 gsm non-woven 3/4"" stadium cushion.    Features large front pocket and black trim with matching handle.    Actual size is 13-1/4""h x 13-1/4""w.",One color imprint.,Silkscreen,,,,,,,,,,,,,,,,,,,,,,RED,Lifestyles,"6PKBUDGT_CL, TALSBKSK_CL, CHROM6PK, ULADPTR, DLXPICCL, CYCLONE, 16SATMUG, HNDWARM, PENCIL, NEOCLONE, 16SATTMB, FNTLBL, MINIWRIT, SSLENDSP, CHIAMNTY_CL, CONCORD, CABANAPN, PIVTLKR_CL, MEDIALNG, MEDILNGS, SLKMPNCL, NEONBB, BUSCLGTG, RENPENC, CANOODPN, WONMA",
TALSBKSK_CL,Talus Backsack - Closeout,,"6""h x 8""w","210D polyester front panel. 90 gsm non-woven back and front accent. Drawstring construction. Actual size is 13""h x 16""w.",One color imprint.,Silkscreen,,,,,,,150,,,,,1.86,,,,,C,,,,,BLUE,Bags,"HSEKYHLD, SILBRACS, SILBRACP, WHSKLT, DBLWVSB, DBLSQBPK, DBLTKDS, DBLVISN, DBLSTBPK, DBLSQBPK_CL, CLASSTRAV, MEETFOLO, FENDUFL_CL, RESRTOTE_CL, BEVRCDCM, UNOCCLR, UNOLED, UNOMUG, WTRTBPCH, LPMEDPCH, WATMEDPC, DBLCLPSL, WVEBKPK, RLCPCLBG, DRAWSWNW, KCMSHBK","tote, polyester, school, sports, nonwoven, gymbag, beach, backsack, closeout, drawstring, bags, gym"
TCHKYCN,Touch Key Chain,140,"3/16""h x 1-1/8""w","White aluminum barrel key chain with colored stylus tip.    Split key ring attached 3-3/4"" total in length.    Individually polybagged.",One color or laser engraved imprint.,Silkscreen,Laser Engraved,10,500,9L x 15W x 10H,Individually polybagged.,5 day production from time of art approval.,250,500,1000,1500,2500,1.35,1.29,1.19,1.09,0.99,C,C,C,C,C,"WHITE/BLUE, WHITE/RED, WHITE/GREEN, WHITE/ORANGE","Techno Trends, Tools","GRABUTST, LTDFLTBL, BAYCLTOT, CAPBTLOP, SCENRVBR, EARMEDIA, HSEKYHLD, WHSKLT, THMGOB25, BTLCAD, THMGOBTL, SHAKITUP, NEOFLAT, 25QUEST_CL, SPECSBTL, STRAWCQ_CL, YOGCLKT, PLANEWLM_CL, WIPEOUT, EVERYSHP_CL, COMMTOT, XXLRECGY_CL, VISTSLNG, WILSNGLS, YOGABLK, T",
TECCHGST,Tech Charge Set,128,"1-1/2""h x 2-1/2""w","One set includes PU case, AC adapter, car charger & 2200 mAh Power bank with micro USB cable.    Input: DC 5V/1A  Max     Output: DC 5V 1A    Li-Ion Battery    Capacity: 2200mAh    Takes about 4-5 hours for a full charge    It will hold charge 3-6 months ",One color imprint.,Silkscreen,,20,50,10L x 18W x 10H,,,25,50,100,200,400,22.99,22.19,20.39,19.59,18.99,C,C,C,C,C,BLACK,Techno Trends,"BARTPEN, FFOBLTHS, SPINPWBK, INFUSER, BNDYBRT, PHNTMFLS, EXERBODY, LNCHBXST, CLPSLNCH, CLASSTRAV, SVNUNOCP, SPLSTOTE, TRENTUM, TREKRTUM, FORCSTUM, FOURPWBK, PONZMNBG, GSDAYTRP, GSRVTQSR, GSSLEEK, GSDYTPJR, CTYCLRKT, SHKCLRKT, LED17FLH, FIFTPWBK, USBAUTO, ",
