Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-3392, 	125 ,C,1.13,
SM-3393, 	150 ,C,0.89,
SM-3395, 	112 ,C,1.16,
SM-3399, 	137 ,C,0.98,
SM-3400, 	150 ,C,0.86,
SM-3402, 	75 ,C,1.52,
SM-3411, 	100 ,C,1.34,
SM-3415, 	75 ,C,1.43,
SM-3418, 	75 ,C,2.15,
SM-3419, 	75 ,C,1.97,
SM-3429, 	150 ,C,0.97,
SM-3430, 	50 ,C,2.42,
SM-3433, 	150 ,C,0.89,
SM-3434, 	75 ,C,2.15,
SM-3436, 	75 ,C,2.24,
SM-3437, 	75 ,C,1.79,
SM-3441, 	50 ,C,2.24,
SM-3442, 	100 ,C,1.43,
SM-3443, 	75 ,C,1.92,
SM-3446, 	100 ,C,1.34,
SM-3447, 	112 ,C,1.22,
SM-3448, 	75 ,C,2.69,
SM-3450, 	72 ,C,1.74,
SM-3452, 	75 ,C,1.79,
SM-3455, 	100 ,C,1.34,
SM-3456, 	50 ,C,4.49,
SM-3457, 	75 ,C,1.52,
SM-3459, 	75 ,C,1.79,
SM-3461, 	75 ,C,1.79,
SM-3462, 	150 ,C,0.77,
SM-3463, 	75 ,C,1.43,
SM-3464, 	100 ,C,1.25,
SM-3465, 	150 ,C,0.89,
SM-3466, 	37 ,C,4.40,
SM-3467, 	25 ,C,6.29,
SM-3468, 	75 ,C,1.52,
SM-3471, 	100 ,C,1.31,
SM-3473, 	125 ,C,0.89,
SM-3474, 	62 ,C,2.15,
SM-3475, 	75 ,C,1.79,
SM-3477, 	25 ,C,6.74,
SM-3478, 	125 ,C,1.13,
SM-3479, 	112 ,C,1.16,
SM-3482, 	187 ,C,0.71,
SM-3483, 	75 ,C,1.79,
SM-3484, 	125 ,C,1.07,
SM-3486, 	75 ,C,1.70,
SM-3487, 	75 ,C,1.79,
SM-3489, 	62 ,C,2.33,
SM-3492, 	125 ,C,1.25,
SM-3494, 	125 ,C,1.34,
SM-3495, 	75 ,C,1.97,
SM-3496, 	75 ,C,1.79,
SM-3497, 	100 ,C,1.79,
SM-3502, 	25 ,C,5.84,
SM-3508, 	50 ,C,3.59,
SM-3511, 	87 ,C,1.79,
SM-3518, 	50 ,C,3.59,
SM-3522, 	75 ,C,1.79,
SM-3525, 	75 ,C,1.79,
SM-3526, 	75 ,C,1.79,
SM-3527, 	75 ,C,1.79,
SM-3528, 	75 ,C,1.79,
SM-3535, 	100 ,C,1.34,
SM-3537, 	50 ,C,3.14,
SM-3538, 	50 ,C,2.69,
SM-3539, 	50 ,C,4.40,
SM-3541, 	75 ,C,1.79,
SM-3547, 	75 ,C,2.06,
SM-3550, 	112 ,C,1.16,
SM-3566, 	37 ,C,4.49,
SM-3575, 	50 ,C,2.69,
SM-3592, 	87 ,C,1.61,
SM-3594, 	100 ,C,1.79,
SM-3595, 	62 ,C,2.69,
SM-3596, 	150 ,C,1.25,
SM-3601, 	50 ,C,3.23,
SM-3602, 	25 ,C,6.74,
SM-3611, 	37 ,C,4.49,
SM-3612, 	50 ,C,4.31,
SM-3615, 	25 ,C,6.20,
SM-3616, 	25 ,C,6.29,
SM-3618, 	25 ,C,6.74,
SM-3619, 	20 ,C,8.54,
SM-3621, 	25 ,C,6.29,
SM-3625, 	25 ,C,8.09,
SM-3627, 	50 ,C,4.22,
SM-3629, 	50 ,C,2.69,
SM-3637, 	37 ,C,4.49,
SM-3638, 	25 ,C,5.39,
SM-3639, 	25 ,C,5.84,
SM-3640, 	20 ,C,10.79,
SM-3641, 	50 ,C,2.69,
SM-3647, 	75 ,C,2.24,
