SKU,Product Line,Name,Item Color,Description,Features,Finish / Material,IsAdvantage24,Categories,Decoration Methods,Item Size,Decoration Height,Decoration Width,LessThanMin1Qty,LessThanMin1Charge,PricePoint1Qty,PricePoint1Price,PricePoint1Code,PricePoint2Qty,PricePoint2Price,PricePoint2Code,PricePoint3Qty,PricePoint3Price,PricePoint3Code,PricePoint4Qty,PricePoint4Price,PricePoint4Code,PricePoint5Qty,PricePoint5Price,PricePoint5Code,PricePoint6Qty,PricePoint6Price,PricePoint6Code,End Column Price,Catalog Page,Box Weight,Quantity Per Box,Box Length,Paper Insert Initial Setup,Paper Insert Repeat Setup,Production Time,ProductID
GR4310R,Valumark,,Red,6-Can Cooler / Lunch Bag,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a 1"" x 35"" adjustable carry strap.","210D Poly, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,8 W x 7 H x 5 D,4,3,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,9,50,16.14,0,0,5-7 Working Days,6319
GR4311B,Valumark,,Black,Lunch Cooler,"9-can capacity lunch cooler is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, angled accents, a front pocket, mesh side pocket and a 1 1/4"" x 19"" carry strap.","Mesh, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,5,3,50,25,100,5.42,c,250,5.25,c,500,5.08,c,1000,4.92,c,2500,4.75,c,0,0,c,4.75,VM_95,21,100,22.44,0,0,5-7 Working Days,6457
GR4311G,Valumark,,Lime,Lunch Cooler,"9-can capacity lunch cooler is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, angled accents, a front pocket, mesh side pocket and a 1 1/4"" x 19"" carry strap.","Mesh, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,5,3,50,25,100,5.42,c,250,5.25,c,500,5.08,c,1000,4.92,c,2500,4.75,c,0,0,c,4.75,VM_95,21,100,22.44,0,0,5-7 Working Days,6457
GR4311N,Valumark,,Blue,Lunch Cooler,"9-can capacity lunch cooler is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, angled accents, a front pocket, mesh side pocket and a 1 1/4"" x 19"" carry strap.","Mesh, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,5,3,50,25,100,5.42,c,250,5.25,c,500,5.08,c,1000,4.92,c,2500,4.75,c,0,0,c,4.75,VM_95,21,100,22.44,0,0,5-7 Working Days,6457
GR4311R,Valumark,,Red,Lunch Cooler,"9-can capacity lunch cooler is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, angled accents, a front pocket, mesh side pocket and a 1 1/4"" x 19"" carry strap.","Mesh, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,5,3,50,25,100,5.42,c,250,5.25,c,500,5.08,c,1000,4.92,c,2500,4.75,c,0,0,c,4.75,VM_95,21,100,22.44,0,0,5-7 Working Days,6457
GR4401L,Giftcor,,Light Blue,16-Can Cooler Bag,"16 can cooler features 420D construction, insulated padding, elastic cord storage on top, three zipped pockets, webbed zip pocket and a 42"" adjustable shoulder strap,","420D Polyester, 70D, PEVA Lining",NO,"Coolers, Camping Items",Full Color Dome,10 1/2 W x 13 1/2 H x 7 D,2,3/4/2015,15,25,25,19.95,c,50,18.95,c,100,17.95,c,250,16.95,c,0,0,c,0,0,c,16.95,LM_238,33,20,21,0,0,5-7 Working Days,3296
GR4401R,Giftcor,,Red,16-Can Cooler Bag,"16 can cooler features 420D construction, insulated padding, elastic cord storage on top, three zipped pockets, webbed zip pocket and a 42"" adjustable shoulder strap,","420D Polyester, 70D, PEVA Lining",NO,"Coolers, Camping Items",Full Color Dome,10 1/2 W x 13 1/2 H x 7 D,2,3/4/2015,15,25,25,19.95,c,50,18.95,c,100,17.95,c,250,16.95,c,0,0,c,0,0,c,16.95,LM_238,33,20,21,0,0,5-7 Working Days,3296
GR4401T,Giftcor,,Orange,16-Can Cooler Bag,"16 can cooler features 420D construction, insulated padding, elastic cord storage on top, three zipped pockets, webbed zip pocket and a 42"" adjustable shoulder strap,","420D Polyester, 70D, PEVA Lining",NO,"Coolers, Camping Items",Full Color Dome,10 1/2 W x 13 1/2 H x 7 D,2,3/4/2015,15,25,25,19.95,c,50,18.95,c,100,17.95,c,250,16.95,c,0,0,c,0,0,c,16.95,LM_238,33,20,21,0,0,5-7 Working Days,3296
GR4401Y,Giftcor,,Yellow,16-Can Cooler Bag,"16 can cooler features 420D construction, insulated padding, elastic cord storage on top, three zipped pockets, webbed zip pocket and a 42"" adjustable shoulder strap,","420D Polyester, 70D, PEVA Lining",NO,"Coolers, Camping Items",Full Color Dome,10 1/2 W x 13 1/2 H x 7 D,2,3/4/2015,15,25,25,19.95,c,50,18.95,c,100,17.95,c,250,16.95,c,0,0,c,0,0,c,16.95,LM_238,33,20,21,0,0,5-7 Working Days,3296
GR4402B,Giftcor,,Black,24-Can Cooler Bag,"The 21 liter cooler bag holds 24 12 oz. cans, has a PEVA lining, carry handle, an adjustable shoulder strap and mesh pockets.","420D Polyester, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,12 W x 14 H x 8 1/4 D,4,2,25,25,50,16.25,c,100,15.75,c,250,15.25,c,500,14.75,c,0,0,c,0,0,c,14.75,LM_239,31,28,29,0,0,5-7 Working Days,4911
