SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
8329,Camo Cap With Fray,Embroidery,48,48,48,96,96,14.78,14.78,14.78,14.58,14.58,C,C,C,C,C
8329,Camo Cap With Fray,Vivid Expressions,100,144,576,576,576,13.28,12.88,12.58,12.58,12.58,C,C,C,C,C
8329,Camo Cap With Fray,Blank,24,24,24,96,96,12.68,12.68,11.12,12.28,12.28,C,C,C,C,C
8330,Patriotic Cap,Image Lock,48,96,144,576,1008,7.99,7.68,7.28,7.08,6.88,C,C,C,C,C
8330,Patriotic Cap,Embroidery,48,96,144,576,1008,10.09,9.98,9.78,9.58,9.38,C,C,C,C,C
8330,Patriotic Cap,Vivid Expressions,100,144,576,1008,,8.68,8.28,8.08,7.88,,C,C,C,C,
8330,Patriotic Cap,Blank,24,96,144,576,1008,6.48,6.32,6.17,6,5.87,C,C,C,C,C
8331,Camo Patriotic Cap,Image Lock,48,96,144,576,1008,9.28,8.88,8.48,8.28,8.08,C,C,C,C,C
8331,Camo Patriotic Cap,Embroidery,48,96,144,576,1008,11.38,11.18,10.98,10.78,10.58,C,C,C,C,C
8331,Camo Patriotic Cap,Vivid Expressions,100,144,576,1008,,9.88,9.48,9.28,9.08,,C,C,C,C,
8331,Camo Patriotic Cap,Blank,24,96,144,576,1008,7.78,7.52,7.37,7.23,7.07,C,C,C,C,C
8332,Blaze Cap,Image Lock,48,96,144,576,1008,8.49,8.18,7.78,7.58,7.38,C,C,C,C,C
8332,Blaze Cap,Embroidery,48,96,144,576,1008,10.59,10.48,10.28,10.08,9.88,C,C,C,C,C
8332,Blaze Cap,Vivid Expressions,100,144,576,1008,,9.18,8.78,8.58,8.38,,C,C,C,C,
8332,Blaze Cap,Blank,24,96,144,576,1008,6.92,6.75,6.67,6.57,6.37,C,C,C,C,C
