supplier_name,imprint_method,name,display_name,pantone,hex
All in One,Screen Print,Royal Blue Imprint,Royal Blue,293 C,#003da5
All in One,Screen Print,Red Imprint,Red,186 C,#c8102e
All in One,Screen Print,Purple Imprint,Purple,266 C,#753bbd
All in One,Screen Print,Pink Imprint,Pink,189 C,#f8a3bc
All in One,Screen Print,Orange Imprint,Orange,172 C,#fa4616
All in One,Screen Print,Navy Blue Imprint,Navy Blue,280 C,#012169
All in One,Screen Print,Metallic Silver Imprint,Metallic Silver,,
All in One,Screen Print,Metallic Gold Imprint,Metallic Gold,,
All in One,Screen Print,Maroon Imprint,Maroon,209 C,#6f263d
All in One,Screen Print,Light Blue Imprint,Light Blue,307 C,#006ba6
All in One,Screen Print,Green Imprint,Green,347 C,#009a44
All in One,Screen Print,Dark Green Imprint,Dark Green,342 C,#006747
All in One,Screen Print,Brown Imprint,Brown,476 C,#4e3629
All in One,Screen Print,Black Imprint,Black,,
All in One,VibraColor (Dome + Barrel),Yellow Imprint,Yellow,123 C,#ffc72c
All in One,VibraColor (Dome + Barrel),White Imprint,White,,
All in One,VibraColor (Dome + Barrel),Violet Imprint,Violet,Violet C,#440099
All in One,VibraColor (Dome + Barrel),Teal Imprint,Teal,321 C,#008c95
All in One,VibraColor (Dome + Barrel),Royal Blue Imprint,Royal Blue,293 C,#003da5
All in One,VibraColor (Dome + Barrel),Red Imprint,Red,186 C,#c8102e
All in One,VibraColor (Dome + Barrel),Purple Imprint,Purple,266 C,#753bbd
All in One,VibraColor (Dome + Barrel),Pink Imprint,Pink,189 C,#f8a3bc
All in One,VibraColor (Dome + Barrel),Orange Imprint,Orange,172 C,#fa4616
All in One,VibraColor (Dome + Barrel),Navy Blue Imprint,Navy Blue,280 C,#012169
All in One,VibraColor (Dome + Barrel),Metallic Silver Imprint,Metallic Silver,,
All in One,VibraColor (Dome + Barrel),Metallic Gold Imprint,Metallic Gold,,
All in One,VibraColor (Dome + Barrel),Maroon Imprint,Maroon,209 C,#6f263d
All in One,VibraColor (Dome + Barrel),Light Blue Imprint,Light Blue,307 C,#006ba6
All in One,VibraColor (Dome + Barrel),Green Imprint,Green,347 C,#009a44
All in One,VibraColor (Dome + Barrel),Dark Green Imprint,Dark Green,342 C,#006747
All in One,VibraColor (Dome + Barrel),Brown Imprint,Brown,476 C,#4e3629
All in One,VibraColor (Dome + Barrel),Black Imprint,Black,,
High Caliber Line,Screen Print,Pink,Pink,189 C,#f8a3bc
High Caliber Line,Screen Print,Blue,Blue,Blue,#0000ff
High Caliber Line,Screen Print,Black,Black,426,#25282B
High Caliber Line,Screen Print,Chrome-Brown,Brown,,
High Caliber Line,Screen Print,Chrome-Black,Black,,
High Caliber Line,Screen Print,Brown,Brown,476 C,#4e3629
High Caliber Line,Screen Print,Solid Silver,Silver,,
High Caliber Line,Screen Print,Red,Red,186 C,#c8102e
High Caliber Line,Screen Print,Green,Green,343 C,#00843d
High Caliber Line,Screen Print,Purple,Purple,259 C,#6d2077
High Caliber Line,Screen Print,Orange,Orange,PMS 021,#FF9933
High Caliber Line,Screen Print,Solid White,White,,
"Drum-Line, Inc.",Foil Stamping,Copper,Copper,Copper,#8b634b
"Drum-Line, Inc.",Foil Stamping,Gold,Gold,872 C,#85714d
"Drum-Line, Inc.",Foil Stamping,Silver,Silver,877 C,#8a8d8f
"Drum-Line, Inc.",Foil Stamping,White,White,0,#FFFFFF
