dc_acct_num,dc_name,px_name,do_not_save
100054,PP2-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP2-100 Ink Color,"",true
100054,PP2-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP2-25 Ink Color,"",true
100054,PP2-25 Magnet,"",true
100054,PP2-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP2-50 Ink Color,"",true
100054,PP2-50 Magnet,"",true
100054,PP3-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP3-100 Ink Color,"",true
100054,PP3-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP3-25 Ink Color,"",true
100054,PP3-25 Magnet,"",true
100054,PP3-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP3-50 Ink Color,"",true
100054,PP3-50 Magnet,"",true
100054,PP4-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP4-100 Ink Color,"",true
100054,PP4-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP4-25 Ink Color,"",true
100054,PP4-25 Magnet,"",true
100054,PP4-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP4-50 Ink Color,"",true
100054,PP4-50 Magnet,"",true
100054,PP5-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP5-100 Ink Color,"",true
100054,PP5-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP5-25 Ink Color,"",true
100054,PP5-25 Magnet,"",true
100054,PP5-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP5-50 Ink Color,"",true
100054,PP5-50 Magnet,"",true
100054,PP6-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP6-100 Ink Color,"",true
100054,PP6-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP6-25 Ink Color,"",true
100054,PP6-25 Magnet,"",true
100054,PP6-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP6-50 Ink Color,"",true
100054,PP6-50 Magnet,"",true
100054,PP7-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP7-100 Ink Color,"",true
100054,PP7-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP7-25 Ink Color,"",true
100054,PP7-25 Magnet,"",true
100054,PP7-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP7-50 Ink Color,"",true
100054,PP7-50 Magnet,"",true
100054,RCN1 Logo on Each Sheet,"",true
