Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
22GRPNGO,22oz. Grip N Go Grande,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
22GRPNGO,22oz. Grip N Go Grande,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
22IM_CL,22oz. Insulated Mug - Closeout,Per Color Run Charge,RUN,55,27.5,0.5,0.45,0.41,0.38,0.35,G
22IM_CL,22oz. Insulated Mug - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
24AERIAL,24oz Aerial Tritan  Bottle,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
24AERIAL,24oz Aerial Tritan  Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
24ORBTMB,24oz. Orbit Tumbler with Lid,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
24ORBTMB,24oz. Orbit Tumbler with Lid,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5g
24ORBTMB,24oz. Orbit Tumbler with Lid,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
24ORBTMB,24oz. Orbit Tumbler with Lid,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
24REVNEO,24oz Revolution Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
24REVNEO,24oz Revolution Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
24REVOTL,24oz Revolution Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
24REVOTL,24oz Revolution Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
25CONTAP,25ft. Contractor Tape Measure,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
25QUEST_CL,25oz. Quest Bottle - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
25QUEST_CL,25oz. Quest Bottle - Closeout,Optional Carabiner Charge,RUN,0,0,0.6,0.6,0.6,0.6,0.6,5G
27FLPFRE,27oz. Flip Top Freedom Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
27FLPFRE,27oz. Flip Top Freedom Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
27FLPFRE,27oz. Flip Top Freedom Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
27FLPFRE,27oz. Flip Top Freedom Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
28BLEBTL,BlenderBottle  Classic  - 28oz.,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
28BLEBTL,BlenderBottle  Classic  - 28oz.,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
28BLEBTL,BlenderBottle  Classic  - 28oz.,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
28TALNCL,28oz. Tall N Cool Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
28TALNCL,28oz. Tall N Cool Bottle,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
2DRINKEM,Custom 2drink Embossed,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
2DRINKWP,Custom 2drink Full Color Wrap,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
2HANSAN,2oz. Hand Sanitizer,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
30POLYCL,30oz. Poly-Cool Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
30POLYCL,30oz. Poly-Cool Bottle,Multi Color Imprint Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
34BUBTVL,34oz. bubba  Travel Keg,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
5TEDVPKL,Long Golf Tee Packs,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
5TEEPKL,Long Golf Tee Packs,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6IN1,6-in-1 Tool Kit,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6IN1,6-in-1 Tool Kit,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
6PKBG,6 Pack Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6PKBG,6 Pack Cooler Bag,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
6PKBG_CL,6 Pack Cooler Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6PKBUDGT_CL,Fit Your Budget 6 Pack - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6PKCLBCL,6 Pack Color Block Cooler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6PKCLBCL,6 Pack Color Block Cooler,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
6PKTPATH,6 Pack Cooler Bag Tournament Pack,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
6PKWAVE,6 Pack Wave Cooler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
6PKWAVE,6 Pack Wave Cooler,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
9TEDVPKL,Long Golf Tee Packs,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
9TEEPKL,Long Golf Tee Packs,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ACTDUFL_CL,Action Duffel Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ACTSPBTL,26oz. Active Sport Tritan  Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ACTSPBTL,26oz. Active Sport Tritan  Bottle,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
ACTSPBTL,26oz. Active Sport Tritan  Bottle,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
ADVENBPK,Adventure Drawstring Back Pack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ADVENBPK,Adventure Drawstring Back Pack,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
AEROBKSK,Aero Non-Woven Backsack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
AEROBKSK,Aero Non-Woven Backsack,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
ALBCOKC,Aluminum Bottle Opener,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ALBCOKC_CL,Aluminum Bottle Opener - Closeout,Laser Engraving Setup,SETUP,55,27.5,0,0,0,0,0,G
ALCHCMBO,Alchemy Notebook Combo,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ALCHCMBO,Alchemy Notebook Combo,Pen Imprint Set-Up Charge,SETUP,45,22.5,0,0,0,0,0,G
ALCHCMBO,Alchemy Notebook Combo,Pen Imprint Run Charge,RUN,0,0,0.2,0.2,0.2,0.2,0.2,5G
ALCHMYPN,Alchemy Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
